

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:2, season ID: 132...

Importing data @ 16-02-2015 13:38.
Committing data_import_session ID:2, season ID: 132...
Committed Swimmer, id: 5687.
Committed Swimmer, id: 5688.
Committed Swimmer, id: 5689.
Committed Swimmer, id: 5690.
Committed Swimmer, id: 5691.
Committed Swimmer, id: 5692.
Committed Swimmer, id: 5693.
Committed Swimmer, id: 5694.
Committed Swimmer, id: 5695.
Committed Swimmer, id: 5696.
Committed Swimmer, id: 5697.
Committed Swimmer, id: 5698.
Committed Swimmer, id: 5699.
Committed Swimmer, id: 5700.
Committed Swimmer, id: 5701.
Committed Swimmer, id: 5702.
Committed Swimmer, id: 5703.
Committed Swimmer, id: 5704.
Committed Swimmer, id: 5705.
Committed Swimmer, id: 5706.
Committed Swimmer, id: 5707.
Committed Swimmer, id: 5708.
Committed Swimmer, id: 5709.
Committed Swimmer, id: 5710.
Committed Swimmer, id: 5711.
Committed Swimmer, id: 5712.
Committed Swimmer, id: 5713.
Committed Swimmer, id: 5714.
Committed Swimmer, id: 5715.
Committed Swimmer, id: 5716.
Committed Swimmer, id: 5717.
Committed Swimmer, id: 5718.
Committed Swimmer, id: 5719.
Committed Swimmer, id: 5720.
Committed Swimmer, id: 5721.
Committed Swimmer, id: 5722.
Committed Swimmer, id: 5723.
Committed Swimmer, id: 5724.
Committed Swimmer, id: 5725.
Committed Swimmer, id: 5726.
Committed Swimmer, id: 5727.
Committed Swimmer, id: 5728.
Committed Swimmer, id: 5729.
Committed Swimmer, id: 5730.
Committed Swimmer, id: 5731.
Committed Swimmer, id: 5732.
Committed Swimmer, id: 5733.
Committed Swimmer, id: 5734.
Committed Swimmer, id: 5735.
Committed Swimmer, id: 5736.
Committed Swimmer, id: 5737.
Committed Swimmer, id: 5738.
Committed Swimmer, id: 5739.
Committed Swimmer, id: 5740.
Committed Swimmer, id: 5741.
Committed Swimmer, id: 5742.
Committed Swimmer, id: 5743.
Committed Swimmer, id: 5744.
Committed Swimmer, id: 5745.
Committed Swimmer, id: 5746.
Committed Swimmer, id: 5747.
Committed Swimmer, id: 5748.
Committed Swimmer, id: 5749.
Committed Swimmer, id: 5750.
Committed Swimmer, id: 5751.
Committed Swimmer, id: 5752.
Committed Swimmer, id: 5753.
Committed Swimmer, id: 5754.
Committed Swimmer, id: 5755.
Committed Swimmer, id: 5756.
Committed Swimmer, id: 5757.
Committed Swimmer, id: 5758.
Committed Swimmer, id: 5759.
Committed Swimmer, id: 5760.
Committed Swimmer, id: 5761.
Committed Swimmer, id: 5762.
Committed Swimmer, id: 5763.
Committed Swimmer, id: 5764.
Committed Swimmer, id: 5765.
Committed Swimmer, id: 5766.
Committed Swimmer, id: 5767.
Committed Swimmer, id: 5768.
Committed Swimmer, id: 5769.
Committed Swimmer, id: 5770.
Committed Swimmer, id: 5771.
Committed Swimmer, id: 5772.
Committed Swimmer, id: 5773.
Committed Swimmer, id: 5774.
Committed Swimmer, id: 5775.
Committed Swimmer, id: 5776.
Committed Swimmer, id: 5777.
Committed Swimmer, id: 5778.
Committed Swimmer, id: 5779.
Committed Swimmer, id: 5780.
Committed Swimmer, id: 5781.
Committed Swimmer, id: 5782.
Committed Swimmer, id: 5783.
Committed Swimmer, id: 5784.
Committed Swimmer, id: 5785.
Committed Swimmer, id: 5786.
Committed Swimmer, id: 5787.
Committed Swimmer, id: 5788.
Committed Swimmer, id: 5789.
Committed Swimmer, id: 5790.
Committed Swimmer, id: 5791.
Committed Swimmer, id: 5792.
Committed Swimmer, id: 5793.
Committed Swimmer, id: 5794.
Committed Swimmer, id: 5795.
Committed Swimmer, id: 5796.
Committed Swimmer, id: 5797.
Committed Swimmer, id: 5798.
Committed Swimmer, id: 5799.
Committed Swimmer, id: 5800.
Committed Swimmer, id: 5801.
Committed Swimmer, id: 5802.
Committed Swimmer, id: 5803.
Committed Swimmer, id: 5804.
Committed Swimmer, id: 5805.
Committed Swimmer, id: 5806.
Committed Swimmer, id: 5807.
Committed Swimmer, id: 5808.
Committed Swimmer, id: 5809.
Committed Swimmer, id: 5810.
Committed Swimmer, id: 5811.
Committed Swimmer, id: 5812.
Committed Swimmer, id: 5813.
Committed Swimmer, id: 5814.
Committed Swimmer, id: 5815.
Committed Swimmer, id: 5816.
Committed Swimmer, id: 5817.
Committed Swimmer, id: 5818.
Committed Swimmer, id: 5819.
Committed Swimmer, id: 5820.
Committed Swimmer, id: 5821.
Committed Swimmer, id: 5822.
Committed Swimmer, id: 5823.
Committed Swimmer, id: 5824.
Committed Swimmer, id: 5825.
Committed Swimmer, id: 5826.
Committed Swimmer, id: 5827.
Committed Swimmer, id: 5828.
Committed Swimmer, id: 5829.
Committed Swimmer, id: 5830.
Committed Swimmer, id: 5831.
Committed Swimmer, id: 5832.
Committed Swimmer, id: 5833.
Committed Swimmer, id: 5834.
Committed Swimmer, id: 5835.
Committed Swimmer, id: 5836.
Committed Swimmer, id: 5837.
Committed Swimmer, id: 5838.
Committed Swimmer, id: 5839.
Committed Swimmer, id: 5840.
Committed Swimmer, id: 5841.
Committed Swimmer, id: 5842.
Committed Swimmer, id: 5843.
